1ac1,273,2,0
1ac6,178,2,0
1acb,232,2,0
1acm,639,6,0
1acv,273,2,0
1ad0,576,4,0
1ad1,383,4,0
1ad3,751,4,0
1ad4,380,4,0
1ad5,745,4,0
1ad8,248,4,0
1ad9,584,4,0
1adb,638,4,0
1adc,630,4,0
1ade,830,2,0
1adi,799,2,0
1adj,1120,8,0
1ado,1422,8,0
1adu,409,2,0
1adv,409,2,0
1adw,183,4,0
1ady,1120,8,0
1ae1,364,4,0
1ae8,258,4,0
1ae9,254,2,0
1aei,1550,24,0
1aer,299,4,0
1af6,890,6,0
1afa,390,6,0
1afb,388,6,0
1afc,820,8,0
1afd,370,6,0
1afe,256,4,0
1afk,206,4,0
1afl,206,4,0
1afq,193,5,0
1afr,1449,12,0
1afs,471,4,0
1afu,187,2,0
1afv,785,2,0
1afw,540,4,0
1ag0,199,4,0
1ag1,345,2,0
1ag8,1261,4,0
1ag9,316,4,0
1agb,306,3,0
1agc,312,3,0
1agd,317,3,0
1age,308,3,0
1agf,414,3,0
1agj,366,2,0
1agn,1008,8,0
1agq,307,4,0
1agr,687,6,0
1ags,67,2,0
1agw,409,4,0
1ah8,358,4,0
1ahe,576,4,0
1ahf,579,4,0
1ahg,592,2,0
1ahh,350,4,0
1ahi,366,4,0
1ahj,1081,4,0
1ahp,1071,8,0
1ahs,266,3,0
1aht,245,4,0
1ahu,780,4,0
1ahv,770,2,0
1ahx,590,4,0
1ahy,589,4,0
1ahz,771,5,0
1ai0,3871,90,0
1ai4,574,2,0
1ai5,581,2,0
1ai6,573,2,0
1ai7,580,2,0
1ai8,261,4,0
1ai9,319,4,0
1aia,536,2,0
1aib,542,2,0
1aic,542,2,0
1aid,164,2,0
1aig,1297,10,0
1aih,493,8,0
1aij,1307,10,0
1aik,97,2,0
1aio,126,6,0
1aip,1457,6,0
1aiq,407,4,0
1ais,350,4,0
1aix,259,4,0
1aiy,3872,80,0
1aiz,216,4,0
1aj5,267,2,0
1aj8,566,4,0
1aj9,249,4,0
1ajb,596,4,0
1ajc,575,4,0
1ajd,578,4,0
1ajk,332,4,0
1ajn,582,2,0
1ajo,325,4,0
1ajp,587,4,0
1ajq,584,2,0
1ajr,592,2,0
1ajs,593,2,0
1ajv,158,2,0
1ajx,165,2,0
1ajy,2411,26,0
1ak4,528,4,0
1aka,603,4,0
1ake,350,4,0
1akh,184,4,0
1akj,439,5,0
1akk,158,1,0
1aks,216,2,0
1al2,642,6,0
1al4,243,2,0
1al9,78,1,0
1alh,766,4,0
1ali,597,4,0
1alj,591,4,0
1alk,586,4,0
1all,248,4,0
1alv,346,4,0
1alw,285,4,0
1alx,221,3,0
1alz,224,4,0
1am4,803,9,0
1am7,360,6,0
1am9,389,10,0
1amh,316,4,0
1amo,869,4,0
1amt,95,9,0
1amu,741,4,0
1an0,289,4,0
1an1,203,2,0
1an5,403,4,0
1an9,499,4,0
1ana,52,2,0
1ani,602,4,0
1anj,604,4,0
1ank,427,4,0
1anw,470,4,0
1anx,712,6,0
1ao0,1236,8,0
1ao3,267,2,0
1ao5,344,4,0
1ao6,778,2,0
1ao7,518,6,0
1aoc,278,2,0
1aoe,339,4,0
1aof,790,4,0
1aog,695,4,0
1aoh,233,2,0
1aoi,1028,7,0
1aoj,105,2,0
1aok,207,2,0
1aom,785,4,0
1aon,4850,14,0
1aoq,856,4,0
1aor,851,4,0
1aox,301,4,0
1aoz,845,4,0
1ap2,335,4,0
1ap5,313,4,0
1ap6,315,4,0
1aph,78,2,0
1apm,288,2,0
1apn,328,2,0
1apt,249,2,0
1apu,260,2,0
1apv,258,4,0
1apw,261,4,0
1apx,741,8,0
1apy,430,8,0
1apz,428,8,0
1aq0,439,4,0
1aq3,348,5,0
1aq4,353,5,0
1aq6,361,4,0
1aq7,187,2,0
1aq8,936,6,0
1aqc,243,4,0
1aqd,1084,11,0
1aqf,2636,16,0
1aqi,551,4,0
1aqj,549,4,0
1aqk,327,2,0
1aql,731,4,0
1aqn,213,1,0
1aqu,454,4,0
1aqv,421,4,0
1aqw,630,8,0
1aqx,636,8,0
1aqy,449,4,0
1aqz,233,4,0
1ar0,195,2,0
1ar1,739,6,0
1ar4,330,4,0
1ar5,327,4,0
1ar6,642,6,0
1ar7,643,6,0
1ar8,641,6,0
1ar9,643,6,0
1arg,581,4,0
1arh,568,4,0
1ari,617,4,0
1aro,635,1,0
1arz,727,8,0
1as4,270,2,0
1as6,978,6,0
1as7,908,6,0
1as8,964,6,0
1asj,643,6,0
1ask,194,2,0
1asl,551,4,0
1asm,553,4,0
1asn,552,4,0
1aso,847,4,0
1asp,850,4,0
1asq,853,4,0
1asz,976,2,0
1at1,642,6,0
1at3,311,4,0
1ati,648,2,0
1atj,1587,12,0
1atl,317,4,0
1atn,465,3,0
1atp,293,2,0
1atz,276,2,0
1au1,356,4,0
1au5,59,1,0
